City,Art,Erotic,History,Planetarium,Science
"Maseru, Lesotho",0.0,0.0,100.0,0.0,0.0
"Mexico City, Mexico",36.72316384180791,1.1299435028248588,50.847457627118644,2.824858757062147,8.47457627118644
"Minsk, Belarus",21.73913043478261,21.73913043478261,43.47826086956522,4.3478260869565215,8.695652173913043
"Monaco, Monaco",57.14285714285714,0.0,42.857142857142854,0.0,0.0
"Moscow, Russia",28.09917355371901,1.6528925619834711,51.652892561983464,2.8925619834710745,15.702479338842975
"Muscat, Oman",15.384615384615385,0.0,38.46153846153847,23.076923076923077,23.076923076923077
"Nairobi, Kenya",14.285714285714285,0.0,71.42857142857143,0.0,14.285714285714285
"Nassau, Bahamas",40.0,0.0,60.0,0.0,0.0
"Naypyidaw, Myanmar",0.0,0.0,100.0,0.0,0.0
"New Delhi, India",19.047619047619047,0.0,66.66666666666666,4.761904761904762,9.523809523809524
"Ngerulmud, Palau",0.0,0.0,100.0,0.0,0.0
"Nicosia, Cyprus",22.22222222222222,0.0,72.22222222222221,0.0,5.555555555555555
"Nouakchott, Mauritania",0.0,0.0,100.0,0.0,0.0
"Nouméa, New Caledonia",40.0,0.0,60.0,0.0,0.0
"Nuuk, Greenland",33.33333333333333,0.0,66.66666666666666,0.0,0.0
"Oranjestad, Aruba",20.0,0.0,80.0,0.0,0.0
"Oslo, Norway",32.55813953488372,2.3255813953488373,51.162790697674424,2.3255813953488373,11.627906976744185
"Ottawa, Canada",15.384615384615385,0.0,53.84615384615385,0.0,30.76923076923077
"Ouagadougou, Burkina Faso",0.0,0.0,100.0,0.0,0.0
"Panama City, Panama",18.75,0.0,50.0,6.25,25.0
"Papeete, French Polynesia",40.0,0.0,60.0,0.0,0.0
"Paris, France",58.82352941176471,0.8403361344537815,23.52941176470588,3.361344537815126,13.445378151260504
"Phnom Penh, Cambodia",14.285714285714285,0.0,85.71428571428571,0.0,0.0
"Podgorica, Montenegro",25.0,0.0,50.0,0.0,25.0
"Port Louis, Mauritius",22.22222222222222,0.0,33.33333333333333,22.22222222222222,22.22222222222222
"Port Moresby, Papua New Guinea",100.0,0.0,0.0,0.0,0.0
"Port-au-Prince, Haiti",0.0,0.0,100.0,0.0,0.0
"Porto-Novo, Benin",0.0,0.0,75.0,0.0,25.0
"Prague, Czech Republic",29.72972972972973,2.7027027027027026,52.702702702702695,4.054054054054054,10.81081081081081
"Praia, Cape Verde",0.0,0.0,100.0,0.0,0.0
"Pristina, Kosovo",0.0,0.0,80.0,20.0,0.0
"Pyongyang, North Korea",0.0,0.0,100.0,0.0,0.0
"Quito, Ecuador",28.57142857142857,0.0,33.33333333333333,14.285714285714285,23.809523809523807
"Rabat, Morocco",25.0,0.0,58.333333333333336,0.0,16.666666666666664
"Reykjavík, Iceland",39.130434782608695,4.3478260869565215,34.78260869565217,4.3478260869565215,17.391304347826086
"Riga, Latvia",21.428571428571427,5.357142857142857,60.71428571428571,1.7857142857142856,10.714285714285714
"Riyadh, Saudi Arabia",20.833333333333336,0.0,45.83333333333333,16.666666666666664,16.666666666666664
"Road Town, British Virgin Islands",0.0,0.0,100.0,0.0,0.0
"Rome, Italy",43.30708661417323,0.0,48.031496062992126,3.149606299212598,5.511811023622047
"Roseau, Dominica",0.0,0.0,100.0,0.0,0.0
"Saipan, Northern Mariana Islands",0.0,0.0,100.0,0.0,0.0
"San José, Costa Rica",33.33333333333333,4.761904761904762,33.33333333333333,9.523809523809524,19.047619047619047
"San Juan, Puerto Rico",30.0,0.0,35.0,0.0,35.0
"San Marino, San Marino",37.5,0.0,50.0,0.0,12.5
"San Salvador, El Salvador",36.36363636363637,9.090909090909092,45.45454545454545,0.0,9.090909090909092
"Santiago, Chile",27.27272727272727,2.272727272727273,50.0,9.090909090909092,11.363636363636363
